family_id,family,catalog_items_examples,approx_items,pipeline_component,collector,status,notes
F11,Security account/audit events 4625-4782,Security Event 4688; 4689; 4656; 4663; 4697-4702; 4719-4782,72,eventlog collector,EventLogCollector,partial,4688/4697/4698-4702 subset ingested; rest planned
F12,WMI repository constructs,WMI Permanent Consumer; Event Filter; Event Binding; Repository; Subscription; Provider Registration; ActiveScriptEventConsumer; CommandLineEventConsumer,34,wmi_persistence collector,WmiSubscriptionCollector,implemented,root\subscription enumeration
F13,Prefetch / Amcache / ShimCache / BAM / DAM / UserAssist / RecentFileCache / SRUM,Prefetch; Amcache.hve; ShimCache; AppCompatCache; BAM; DAM; UserAssist; RecentFileCache.bcf; SRUM; SRUDB.dat; ActivitiesCache.db,68,artifacts collector,ArtifactCollector,partial,Prefetch parsed; others metadata-only until phase 3
F14,Registry hives,NTUSER.DAT; UsrClass.dat; SYSTEM/SOFTWARE/SAM/SECURITY/DEFAULT/BCD/COMPONENTS/DRIVERS/ELAM hive + LOG1/LOG2,34,artifacts collector,ArtifactCollector,metadata-only,existence + timestamps; deep parsing phase 3; credential content never read
F15,Persistence registry locations,Run/RunOnce/RunServices; Winlogon Shell/Userinit/Notify; AppInit_DLLs; IFEO; SilentProcessExit; Session Manager; BootExecute; StartupApproved; Services keys; TaskCache,190,persistence_registry collector,RegistryPersistenceCollector,implemented,read-only enumeration
F16,SCM events,SCM Event 7000/7001/7009/7011/7023/7024/7031/7034/7035/7036/7040/7045,14,eventlog collector,EventLogCollector,partial,System channel 7034-7045 subset
F17,Startup/ShellBags/MRU/JumpLists/LNK,Startup Folder; LNK Files; Jump Lists; AutomaticDestinations; CustomDestinations; ShellBags; OpenSavePidlMRU; LastVisitedPidlMRU; RunMRU; TypedPaths; WordWheelQuery; Explorer\* keys,130,planned parsers,none yet,planned,phase 3 execution-proof artifacts
F18,Winlogon/LSA/credential infrastructure,LSA Authentication/Notification/Security Packages; SecurityProviders; Credential Providers; Network Providers; Winsock Catalog; Windows Credential Manager; DPAPI Master Keys; Windows Vault; LSA Secrets; SAM account DB,58,persistence collector + policy guard,RegistryPersistenceCollector,partial,config-surface inspection only; NO secret/credential content ever read
F19,Shell/COM/extension handlers,Browser Helper Objects; Shell Extensions; ContextMenuHandlers; ProtocolHandlers; App Paths; COM CLSID/InprocServer32/LocalServer32/AppID/TypeLib; dllhost/rundll32/regsvr32/msiexec activity,96,planned,none yet,planned,phase 3/4 hijack-surface coverage
F20,Filesystem locations & integrity paths,C:\Windows\Prefetch; System32; SysWOW64; Tasks; Temp; Logs\CBS/DISM; Panther; WER dirs; ProgramData; user profile dirs; $MFT; $UsnJrnl; $LogFile,72,file integrity + artifacts,ArtifactCollector,partial,path policy implemented; MFT/USN phase 3
F21,NTFS metadata,$MFT; $UsnJrnl:$J; $LogFile; $Extend; NTFS File Record; SI/FN attributes; ADS; Zone.Identifier; timestamps,46,planned parser,none yet,planned,phase 3 timeline builder
F22,Search index & caches,Windows Search Index; Windows.edb; SearchIndexer; Thumbnail/Icon/Explorer cache,18,artifacts collector,ArtifactCollector,metadata-only,existence + size
F23,ActivitiesCache / Timeline / Clipboard,ActivitiesCache.db fields; Windows Timeline; CDP Activity; Cloud Clipboard; Clipboard History,34,planned parsers,none yet,planned,privacy: metadata only by policy
F24,AMSI / SmartScreen,AMSI Provider/Scan/Result Events; SmartScreen Reputation; Smart App Control,18,eventlog collector,EventLogCollector,planned,channel listing exists; rules phase 2
F25,Network tables & protocols,TCP/UDP Connection Tables; Listening Ports; ARP/Neighbor Cache; Route Table; WinHTTP/WinINet traces; HTTP.sys/IIS logs; SMB client/server; RDP logs,68,network collector,NetworkCollector,partial,TCP table + DNS cache implemented; IIS/SMB planned
F26,BITS / Delivery Optimization / Windows Update,BITS Jobs/History/State; Delivery Optimization; Windows Update Log/ETL; Update Orchestrator; CBS.log; DISM.log,32,planned + eventlog,EventLogCollector,partial,Servicing channels queryable; parsers phase 3
F27,Setup/PnP/driver install logs,SetupAPI.dev/app logs; Panther; Driver Installation; Kernel-PnP; DriverFrameworks; DriverStore; INF cache,44,drivers collector,DriverCollector,partial,driver inventory live; log parsing phase 2
F28,Authenticode/certificates,Authenticode Signature; WinVerifyTrust; Certificate Chain; TrustedPublisher/Root/Disallowed stores,10,signatures collector,SignatureCollector,implemented,batched Get-AuthenticodeSignature
F29,Event forwarding/collection,Windows Event Forwarding; Event Collector; Archived *-log backups,22,eventlog collector,EventLogCollector,planned,WEF subscription audit phase 2
F30,ETW sessions & traces,ETW Session/Trace; ETL File; NT Kernel Logger; CKCL; WPR/WPA; Boot/Shutdown trace ETL,32,etw collector,EtwCollector,opt-in,trace creation only with explicit operator opt-in
F31,Process/thread/object internals,Process/Thread/Handle/Token/Object tables; ALPC Ports; Named Pipes; Mutex/Semaphore/Section objects; Job objects,64,processes + memory collectors,ProcessCollector; MemoryCollector,partial,live inventory; handle-level views phase 4
F32,Token/mitigation policy metadata,Token Privileges; Integrity Level; AppContainer; CFG/DEP/ASLR/CET policies; Process Mitigation Policy,30,planned,none yet,planned,read-only query phase 4
F33,VAD/memory regions,Virtual Address Descriptor; VAD Tree; Memory Regions; image-backed vs private; RWX pages; Guard/NoAccess pages,28,memory collector,MemoryCollector,implemented,VirtualQueryEx metadata for protected processes
F34,PE metadata & signatures,PE Header; DOS/NT Headers; Section/Import/Export Tables; TLS/Exception/LoadConfig/Debug/Resource dirs; Rich Header; imphash; PDB path; overlay,96,planned parser,none yet,planned,phase 4 PE extractor
F35,MOTW / Zone.Identifier / Attachment service,Zone.Identifier; Mark-of-the-Web; Attachment Execution Services; Internet Zone Mapping,14,planned,none yet,planned,ADS inspection phase 3
F36,Browser artifacts,Chrome/Edge/Firefox History/Downloads/Cookies/Cache/LocalStorage; Extensions; NativeMessagingHosts; enterprise policy,44,planned parsers,none yet,planned,privacy mode: URLs+hashes only
F37,Authentication/AD telemetry,Kerberos/NTLM Operational; Account Logon; Logon Session; Netlogon; NTDS.dit (metadata only); Authentication Policy,40,eventlog collector,EventLogCollector,partial,Security channel subset; directory content never read
F38,Remote access telemetry,TerminalServices LocalSessionManager/RDPClient; RdpCoreTS; SessionServices; WinRM Operational/Analytic; Remote Assistance,28,eventlog collector,EventLogCollector,implemented,channels in default list
F39,RPC/DCOM/COM activation,RPC Endpoint Mapper; DCOM Operational; DistributedCOM Events; COM Activation/Registration; RuntimeBroker; WinRT Activation,26,planned,none yet,planned,phase 3/4
F40,Kernel object/ETW tracing (misc),CSRSS/Win32k/ALPC/RPC traces; Handle/Thread/Image/File/Registry/Network/Disk/Memory traces,26,etw collector,EtwCollector,opt-in,same opt-in trace framework as F30
